Day of Year,Last Updated,Year of Period End,Period Begin,Period End,Median Sale Price Yoy (tooltip),Median Sale Price Yoy,Median Sale Price,
2,2/2/2022 14:20,2022,10/11/2021,1/2/2022,13.49%,0.13487934,"357,091.60",
3,2/2/2022 14:20,2021,10/12/2020,1/3/2021,13.99%,0.139904497,"314,651.60",
5,2/2/2022 14:20,2020,10/14/2019,1/5/2020,6.30%,0.062998967,"276,033.30",
9,2/2/2022 14:20,2022,10/18/2021,1/9/2022,13.54%,0.135409132,"357,258.30",
10,2/2/2022 14:20,2021,10/19/2020,1/10/2021,13.99%,0.139904497,"314,651.60",
12,2/2/2022 14:20,2020,10/21/2019,1/12/2020,6.49%,0.064929729,"276,033.30",
16,2/2/2022 14:20,2022,10/25/2021,1/16/2022,13.54%,0.135409132,"357,258.30",
17,2/2/2022 14:20,2021,10/26/2020,1/17/2021,13.99%,0.139904497,"314,651.60",
19,2/2/2022 14:20,2020,10/28/2019,1/19/2020,6.59%,0.065938904,"276,033.30",
23,2/2/2022 14:20,2022,11/1/2021,1/23/2022,13.64%,0.136383916,"357,091.60",
24,2/2/2022 14:20,2021,11/2/2020,1/24/2021,14.05%,0.140487139,"314,235",
26,2/2/2022 14:20,2020,11/4/2019,1/26/2020,6.74%,0.067419017,"275,527",
30,2/2/2022 14:20,2022,11/8/2021,1/30/2022,13.65%,0.136470589,"356,258.30",
31,2/2/2022 14:20,2021,11/9/2020,1/31/2021,13.88%,0.138772219,"313,477.80",
33,2/2/2022 14:20,2020,11/11/2019,2/2/2020,6.82%,0.068174472,"275,277",
38,2/2/2022 14:20,2021,11/16/2020,2/7/2021,13.83%,0.138295026,"313,156.80",
40,2/2/2022 14:20,2020,11/18/2019,2/9/2020,7.20%,0.072034821,"275,110.40",
45,2/2/2022 14:20,2021,11/23/2020,2/14/2021,13.73%,0.137250207,"312,490.20",
47,2/2/2022 14:20,2020,11/25/2019,2/16/2020,7.15%,0.071466312,"274,777",
52,2/2/2022 14:20,2021,11/30/2020,2/21/2021,13.90%,0.139018177,"313,365.20",
54,2/2/2022 14:20,2020,12/2/2019,2/23/2020,7.41%,0.074070705,"275,118.70",
59,2/2/2022 14:20,2021,12/7/2020,2/28/2021,14.01%,0.140120618,"313,288.50",
61,2/2/2022 14:20,2020,12/9/2019,3/1/2020,7.28%,0.072769493,"274,785.40",
66,2/2/2022 14:20,2021,12/14/2020,3/7/2021,14.41%,0.144125213,"314,436.50",
68,2/2/2022 14:20,2020,12/16/2019,3/8/2020,7.25%,0.07248975,"274,827",
73,2/2/2022 14:20,2021,12/21/2020,3/14/2021,14.72%,0.147157303,"315,269.80",
75,2/2/2022 14:20,2020,12/23/2019,3/15/2020,7.04%,0.070436195,"274,827",
