ID Real Estate Taxes Paid,Real Estate Taxes Paid,ID Year,Year,Real Estate Taxes by Mortgage,Real Estate Taxes by Mortgage Moe,Geography,ID Geography,Slug Geography,share
0,"Less Than $800",2019,"2019",10977592,63715.91582956334,"United States","01000US","united-states",0.13944250546923792
1,"$800 to $1,499",2019,"2019",12477768,64973.30523376504,"United States","01000US","united-states",0.15849844233451943
2,"$1,500 to $1,999",2019,"2019",7322962,48314.63348717446,"United States","01000US","united-states",0.09301968671599577
3,"$2,000 to $2,999",2019,"2019",11903071,59801.44835202572,"United States","01000US","united-states",0.15119837237695
4,"$3,000 or More",2019,"2019",32637305,91038.73215285898,"United States","01000US","united-states",0.4145743056367631
5,"No Real Estate Taxes Paid",2019,"2019",3406164,31436.258190185425,"United States","01000US","united-states",0.04326668746653376
0,"Less Than $800",2019,"2019",58887,3897.988840415016,"Phoenix, AZ","16000US0455000","phoenix-az",0.18422164034124502
1,"$800 to $1,499",2019,"2019",92363,5319.200127838772,"Phoenix, AZ","16000US0455000","phoenix-az",0.28894770266507747
2,"$1,500 to $1,999",2019,"2019",43859,3286.8083302803043,"Phoenix, AZ","16000US0455000","phoenix-az",0.13720816009860692
3,"$2,000 to $2,999",2019,"2019",56773,3758.5635554025157,"Phoenix, AZ","16000US0455000","phoenix-az",0.17760821891238313
4,"$3,000 or More",2019,"2019",57110,3507.260611930628,"Phoenix, AZ","16000US0455000","phoenix-az",0.17866248713448646
5,"No Real Estate Taxes Paid",2019,"2019",10661,1539.9220759505984,"Phoenix, AZ","16000US0455000","phoenix-az",0.033351790848201016
0,"Less Than $800",2018,"2018",10920375,55918.75696937478,"United States","01000US","united-states",0.14053018519466506
1,"$800 to $1,499",2018,"2018",12785402,66415.01446209283,"United States","01000US","united-states",0.16453051391076234
2,"$1,500 to $1,999",2018,"2018",7420205,44082.08082656716,"United States","01000US","united-states",0.09548781821433602
3,"$2,000 to $2,999",2018,"2018",11882220,50237.13242214369,"United States","01000US","united-states",0.152907805558303
4,"$3,000 or More",2018,"2018",31464850,83970.28062951796,"United States","01000US","united-states",0.40490928174374574
5,"No Real Estate Taxes Paid",2018,"2018",3235342,31083.448489509654,"United States","01000US","united-states",0.04163439537818785
0,"Less Than $800",2018,"2018",63113,4005.0530583251953,"Phoenix, AZ","16000US0455000","phoenix-az",0.2050694688137664
1,"$800 to $1,499",2018,"2018",90030,4109.799021850095,"Phoenix, AZ","16000US0455000","phoenix-az",0.29252934066362535
2,"$1,500 to $1,999",2018,"2018",40770,2878.9937478223187,"Phoenix, AZ","16000US0455000","phoenix-az",0.13247163410925256
3,"$2,000 to $2,999",2018,"2018",51059,3082.661998987239,"Phoenix, AZ","16000US0455000","phoenix-az",0.1659030945789631
4,"$3,000 or More",2018,"2018",51451,3187.6260759380166,"Phoenix, AZ","16000US0455000","phoenix-az",0.16717679780611117
5,"No Real Estate Taxes Paid",2018,"2018",11341,1540.3233426784132,"Phoenix, AZ","16000US0455000","phoenix-az",0.03684966402828141
0,"Less Than $800",2017,"2017",11233460,60452.196494420285,"United States","01000US","united-states",0.14649023737905856
1,"$800 to $1,499",2017,"2017",13053304,58994.79510939927,"United States","01000US","united-states",0.17022196202603782
2,"$1,500 to $1,999",2017,"2017",7428430,44799.10793754715,"United States","01000US","united-states",0.09687064128538492
3,"$2,000 to $2,999",2017,"2017",11879515,53411.97335804023,"United States","01000US","united-states",0.15491513498940548
4,"$3,000 or More",2017,"2017",29992835,84090.79494213383,"United States","01000US","united-states",0.3911223718089472
5,"No Real Estate Taxes Paid",2017,"2017",3096474,27730.9681944212,"United States","01000US","united-states",0.040379652511166014
0,"Less Than $800",2017,"2017",70918,3841.4248658538145,"Phoenix, AZ","16000US0455000","phoenix-az",0.22598304760690843
1,"$800 to $1,499",2017,"2017",97396,4737.1607530249585,"Phoenix, AZ","16000US0455000","phoenix-az",0.3103562551781276
2,"$1,500 to $1,999",2017,"2017",42074,3156.1186606336587,"Phoenix, AZ","16000US0455000","phoenix-az",0.13407048626601237
3,"$2,000 to $2,999",2017,"2017",51752,3241.9335280045457,"Phoenix, AZ","16000US0455000","phoenix-az",0.16490982091644893
4,"$3,000 or More",2017,"2017",43556,2832.257403556393,"Phoenix, AZ","16000US0455000","phoenix-az",0.13879293862723854
5,"No Real Estate Taxes Paid",2017,"2017",8124,1399.4205943889776,"Phoenix, AZ","16000US0455000","phoenix-az",0.025887451405264165
0,"Less Than $800",2016,"2016",11453745,58647.47648450017,"United States","01000US","united-states",0.15267065834549068
1,"$800 to $1,499",2016,"2016",13136342,62565.102932865055,"United States","01000US","united-states",0.17509853601520897
2,"$1,500 to $1,999",2016,"2016",7444572,43399.90066808909,"United States","01000US","united-states",0.0992310993775753
3,"$2,000 to $2,999",2016,"2016",11657232,55850.34762649199,"United States","01000US","united-states",0.15538300214699394
4,"$3,000 or More",2016,"2016",28308224,71414.12916923373,"United States","01000US","united-states",0.3773294406913738
5,"No Real Estate Taxes Paid",2016,"2016",3022454,30031.268721117995,"United States","01000US","united-states",0.04028726342335731
0,"Less Than $800",2016,"2016",68637,3783.8123632125316,"Phoenix, AZ","16000US0455000","phoenix-az",0.2327395908568406
1,"$800 to $1,499",2016,"2016",89505,4663.619409857541,"Phoenix, AZ","16000US0455000","phoenix-az",0.3035004018188662
2,"$1,500 to $1,999",2016,"2016",41666,2939.249734200889,"Phoenix, AZ","16000US0455000","phoenix-az",0.14128426056851434
3,"$2,000 to $2,999",2016,"2016",44796,2886.1950731023016,"Phoenix, AZ","16000US0455000","phoenix-az",0.15189770403751665
4,"$3,000 or More",2016,"2016",42045,3066.6934962594482,"Phoenix, AZ","16000US0455000","phoenix-az",0.1425694027649207
5,"No Real Estate Taxes Paid",2016,"2016",8260,1290.973663557859,"Phoenix, AZ","16000US0455000","phoenix-az",0.02800863995334154
0,"Less Than $800",2015,"2015",11874322,58014.34996619371,"United States","01000US","united-states",0.1593729417906451
1,"$800 to $1,499",2015,"2015",13422342,61187.195564104746,"United States","01000US","united-states",0.1801499176340452
2,"$1,500 to $1,999",2015,"2015",7457994,42901.90718371387,"United States","01000US","united-states",0.10009855245941456
3,"$2,000 to $2,999",2015,"2015",11617546,51379.14671342839,"United States","01000US","united-states",0.155926585316462
4,"$3,000 or More",2015,"2015",27144833,69659.24044949099,"United States","01000US","united-states",0.36432832877748994
5,"No Real Estate Taxes Paid",2015,"2015",2989475,26076.182561870515,"United States","01000US","united-states",0.04012367402194321
0,"Less Than $800",2015,"2015",63246,3589.792751678013,"Phoenix, AZ","16000US0455000","phoenix-az",0.2351222341184868
1,"$800 to $1,499",2015,"2015",88711,4070.1179344092725,"Phoenix, AZ","16000US0455000","phoenix-az",0.32979047704020936
2,"$1,500 to $1,999",2015,"2015",35989,2601.5128291054034,"Phoenix, AZ","16000US0455000","phoenix-az",0.1337920830359267
3,"$2,000 to $2,999",2015,"2015",43247,2744.019314800827,"Phoenix, AZ","16000US0455000","phoenix-az",0.1607742981203902
4,"$3,000 or More",2015,"2015",29712,2257.1295930894175,"Phoenix, AZ","16000US0455000","phoenix-az",0.11045681655960028
5,"No Real Estate Taxes Paid",2015,"2015",8087,1277.2008455994696,"Phoenix, AZ","16000US0455000","phoenix-az",0.03006409112538663
0,"Less Than $800",2014,"2014",13042361,61520.61616238901,"United States","01000US","united-states",0.17626718944393918
1,"$800 to $1,499",2014,"2014",13435923,59401.129627305905,"United States","01000US","united-states",0.18158617023368542
2,"$1,500 to $1,999",2014,"2014",7247931,41039.688168893284,"United States","01000US","united-states",0.09795560992780368
3,"$2,000 to $2,999",2014,"2014",11386913,53063.95997284786,"United States","01000US","united-states",0.15389385027393843
4,"$3,000 or More",2014,"2014",25513711,67961.02942127937,"United States","01000US","united-states",0.344817179209724
5,"No Real Estate Taxes Paid",2014,"2014",3365156,27141.145885905407,"United States","01000US","united-states",0.04548000091090935
0,"Less Than $800",2014,"2014",70986,3674.836867127573,"Phoenix, AZ","16000US0455000","phoenix-az",0.2624678321057769
1,"$800 to $1,499",2014,"2014",85228,4297.27879011823,"Phoenix, AZ","16000US0455000","phoenix-az",0.31512704469488567
2,"$1,500 to $1,999",2014,"2014",34692,2511.8274224157994,"Phoenix, AZ","16000US0455000","phoenix-az",0.12827225130890052
3,"$2,000 to $2,999",2014,"2014",40188,2645.939719645933,"Phoenix, AZ","16000US0455000","phoenix-az",0.14859348655603868
4,"$3,000 or More",2014,"2014",30242,2320.9853510955213,"Phoenix, AZ","16000US0455000","phoenix-az",0.11181855828674535
5,"No Real Estate Taxes Paid",2014,"2014",9120,1301.885171587725,"Phoenix, AZ","16000US0455000","phoenix-az",0.033720827047652856
0,"Less Than $800",2013,"2013",13283126,64410.80636818639,"United States","01000US","united-states",0.1798812497087605
1,"$800 to $1,499",2013,"2013",13616142,58977.3145963768,"United States","01000US","united-states",0.18439098139789847
2,"$1,500 to $1,999",2013,"2013",7341688,41048.78697355136,"United States","01000US","united-states",0.09942177860932813
3,"$2,000 to $2,999",2013,"2013",11409282,54216.952717761626,"United States","01000US","united-states",0.15450549098455185
4,"$3,000 or More",2013,"2013",24886195,72858.25474165574,"United States","01000US","united-states",0.3370110211328197
5,"No Real Estate Taxes Paid",2013,"2013",3307428,27278.00813842536,"United States","01000US","united-states",0.04478947816664137
